date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-03-14	3235.25	3246.33	3239.33	3231.52	1469460.25	2.31	0.07	3229.304	3231.807	3234.624	1550790.05	1624526.41	1844954.37
2017-03-13	3209.45	3237.12	3237.02	3193.16	1636737.62	24.26	0.76	3229.92	3232.047	3233.554	1585026.48	1628824.7	1865880.4
2017-03-10	3213.73	3222.32	3212.76	3208.45	1366727.38	-3.99	-0.12	3229.29	3231.211	3232.545	1569863.28	1647732.01	1894139.27
2017-03-09	3233.7	3233.87	3216.75	3205.28	1673711.12	-23.91	-0.74	3230.4	3235.278	3231.742	1610682.52	1697465.64	1945477.36
2017-03-08	3240.53	3245.3	3240.66	3230.61	1607313.88	-1.75	-0.05	3233.056	3238.741	3230.063	1638370.45	1739274.32	1957611.97
2017-03-07	3233.09	3242.66	3242.41	3226.82	1640642.38	8.54	0.26	3234.31	3240.797	3226.379	1698262.77	1785996.71	1949706.37
2017-03-06	3217.33	3234.66	3233.87	3215.07	1560921.62	15.56	0.48	3234.174	3241.889	3221.913	1672622.92	1833605.55	1931842.97
2017-03-03	3219.2	3221.16	3218.31	3206.61	1570823.62	-11.72	-0.36	3233.132	3242.498	3218.069	1725600.75	1909665.49	1917396.03
2017-03-02	3250.52	3256.81	3230.03	3228.66	1812150.75	-16.9	-0.52	3240.156	3240.875	3214.162	1784248.75	1978811.3	1884967.22
2017-03-01	3240.07	3259.98	3246.93	3237.87	1906775.5	5.2	0.16	3244.426	3240.834	3210.619	1840178.2	2014552.17	1851298.07
2017-02-28	3225.97	3242.68	3241.73	3225.97	1512443.12	13.07	0.41	3247.284	3237.44	3205.75	1873730.65	2065382.32	1811996.21
2017-02-27	3249.19	3251.65	3228.66	3224.09	1825810.75	-24.77	-0.76	3249.604	3235.06	3200.791	1994588.17	2102936.1	1799360.99
2017-02-24	3246.86	3253.96	3253.43	3233.53	1864063.62	2.05	0.06	3251.864	3233.878	3196.196	2093730.22	2140546.53	1774400.65
2017-02-23	3258.83	3264.08	3251.38	3236.35	2091798.0	-9.84	-0.3	3241.594	3228.205	3189.682	2173373.85	2193489.09	1742380.85
2017-02-22	3252.69	3261.38	3261.22	3243.84	2074537.75	7.89	0.24	3237.242	3221.385	3182.178	2188926.15	2175949.61	1699716.66
2017-02-21	3242.22	3254.34	3253.33	3239.88	2116730.75	13.37	0.41	3227.596	3211.961	3174.767	2257034.0	2113416.03	1661879.84
2017-02-20	3198.96	3241.46	3239.96	3198.96	2321521.0	37.88	1.18	3220.516	3201.937	3167.539	2211284.03	2030080.39	1624122.23
2017-02-17	3227.71	3238.4	3202.08	3199.42	2262281.75	-27.54	-0.85	3215.892	3193.639	3160.713	2187362.83	1925126.58	1636989.18
2017-02-16	3210.36	3230.28	3229.62	3207.79	2169559.5	16.63	0.52	3214.816	3187.448	3156.247	2213604.33	1791123.14	1602012.2
2017-02-15	3215.46	3236.0	3212.99	3206.56	2415077.0	-4.94	-0.15	3205.528	3180.403	3150.73	2162973.08	1688043.97	1567978.85
