comment	label
[阴线, 全线,  , 板块, 沪, 杀跌, 人气, 指中, 行业, 市场, 低迷]	neg
[资本, 肖亚庆, 国资, 市场, 影响, 上市]	pos
[ , 明后, 收紧, 政策, 两天, 公, 消息, 最快, 再融资, 创业板]	pos
[11, 1.17,  , 月份, 我国, 新增, 同比, M2, 贷款, 人民币, 万亿元, 增]	neg
[证券法, 修订, 中, 内容, 案二审, 四个, 吴晓灵, 稿]	neg
[送, 实盘, 行情, Level, 分钟, 年, 报名, 极速, 开户]	neg
[十大, 后市, 入市, 护盘, 资金, 名博看]	pos
[阴线,  , 机构, 中, 杀跌, 推手, 关, 幕后, 论市, 打响, 多头, 曝光]	neg
[李大霄,  , 回稳, 迹象, 愈发, 支持, 总体经济, 股市]	pos
[风险, 释放, 结束,  , 反弹, 市场]	neg
[股, 巨, 震中, 一类, 脱颖而出]	neg
[分到,  , 正, 万, 收益, 大赛, 60, 钱, 三天, 选手]	pos
[三后, 入, 清仓, 周二, 空仓]	neg
[ , 有望, 本波, 3180, 3170, 结束, 上证指数, 调整, 一带]	pos
[03, 09, 于慢, 下周, 预报, 区域, 2017, 大盘, 牛, 运行]	pos
[明天, 破, 3200]	pos
[融资,  , 股票, 银行贷款, 还清, 发]	neg
[美股, 泡沫]	neg
[股市, 每日, 运作, 涨跌, 众多, 资金]	neg
[ , 证券化, 业绩, 大增, PPP, 美丽, 资产, 龙, 热点, 生态, 000010]	pos
[增加, 崩盘, 供给, 胜利]	neg
[方向, 几件, 影响, 投资]	neg
[新疆, 公共厕所, 一带, 一路, 建个]	pos
[大跌, 十几次, 一年, 大涨]	neg
[探底, 想, 双针]	pos
[股指, 涨, 太, 股票, 期, 原因]	pos
[明天, 反弹, 周期]	pos
[终于, 装, 跌]	neg
[ , 做, 春天, 牛市, 已至]	pos
[明天, 失色, 时来, 运去, 奇迹, 棒槌, 黄金, 必涨]	pos
[妖股, 升, 板块, 波拉, 卷土重来, 把握]	pos
[ , 建议, 股市, 交, 恢复, 第五次, 连续, 贺强, 政协委员, 提案, T]	pos
[高开高, 侧, 概念, 攻击, 走, 大幅, 关注, 可能性, 相关]	pos
[高手, 民间]	neg
[向下, 调头, 完蛋, 征兆]	neg
[站稳, 下车, 弱势, 大盘]	neg
[明天, 不屑, 阴, 阳包, 解释]	pos
[12, 日, 福利, 买, 月, 全民, 金森必, 植树节, 福建]	pos
[全割]	neg
[跑, 双头, 大跌, 肯定]	neg
[]	neg
[大旗,  , 晚评, 中石化, 扛, 反弹]	pos
[李大霄, 活跃]	neg
[退, 草拟,  , 月, 两步, 马, 三个, 进一步]	neg
[低开, 明天, 高开, 开盘, 跑]	neg
[明天, 12, 日, 月, 全民, 买, 植树节, 福建, 金森]	pos
[盘面, 同胞, 隋, 不动, 套牢]	neg
[唱, 剩下, 傻子, 霸天, 庄托]	neg
[ , 纪念日, 月, 财经, 八周年, 迎来, 牛市, 美国, 新浪, 2017, 年]	pos
[佛塑, 昇, 收服, 掌, 如来佛, 古东, 猴王]	neg
[李大霄, 明天, 概率, 修复, 性, 反弹, 市场]	pos
[明天, 大涨]	pos
[明天, 午盘, 早盘,  , 票, 嘉澳, 603822, 环保, 盈利, 会员, 建仓]	pos
[风险,  , 爆发, 利空消息, 无太大, 短期]	neg
[ , 跌停, 绝不会, 千股, 差]	neg
[点, 三千, 不进]	neg
[股票, 银行贷款, 后大, 发, 套, 股东, 上市]	neg
[3.10, 低吸, 直播, 机会, 3200]	pos
[十大, 后市, 入市, 护盘, 资金, 名博看]	pos
[玩]	neg
[助力, 原油, 金世, 持续, EIA, 破位, 震荡, 留芳, 空]	neg
[兑现, 高, 利润, 短期, 投资者]	pos
[ , 周期, 人工智能, 呈, 逆市, 今日, 强, 上证, 凋落]	pos
[创, 体现, 高弹性]	pos
[磨砺, 过程, 成长, 心智, 投资, 年龄, 思]	pos
[投资, 正, 医药行业]	pos
[恐将, 近期, 调整]	neg
[分析, 深圳, 股市, 向北看, 策略, ##, 月, 一平, 盘, 日]	neg
[缩, 要量, 大盘, 拉升, 天量, 若想, 连续]	pos
[操盘]	neg
[股市, 前, 唯一, 天天, 改变, 中国, 软件, 端坐]	neg
[必破, 止于, 大盘, 3150, 3200]	neg
[明早, 嘉澳, 涨幅, 个点, 603822]	pos
[ , 力推, 中信证券, 三大高, 景气, 细分, 投资, 机, 行业, 周期]	neg
