bi	date	dis	neg	pos	ssi
-1.17	2016-08-25	0.47	2486.00	770.00	-1716.00
-1.09	2016-08-26	0.50	1921.00	642.00	-1279.00
-0.66	2016-08-27	0.68	228.00	117.00	-111.00
-0.45	2016-08-28	0.78	221.00	141.00	-80.00
-0.98	2016-08-29	0.55	1573.00	592.00	-981.00
-1.08	2016-08-30	0.51	1939.00	659.00	-1280.00
-0.96	2016-08-31	0.55	1781.00	679.00	-1102.00
-1.18	2016-09-01	0.47	2636.00	812.00	-1824.00
-0.99	2016-09-02	0.54	2361.00	877.00	-1484.00
-0.54	2016-09-03	0.73	198.00	115.00	-83.00
-0.42	2016-09-04	0.79	187.00	122.00	-65.00
-1.01	2016-09-05	0.53	1477.00	535.00	-942.00
-0.83	2016-09-06	0.61	1541.00	670.00	-871.00
-0.90	2016-09-07	0.58	1595.00	649.00	-946.00
-1.05	2016-09-08	0.52	1917.00	669.00	-1248.00
-1.18	2016-09-09	0.47	2222.00	679.00	-1543.00
-0.97	2016-09-10	0.55	452.00	171.00	-281.00
-0.85	2016-09-11	0.60	396.00	169.00	-227.00
-1.32	2016-09-12	0.42	4324.00	1152.00	-3172.00
-1.07	2016-09-13	0.51	2175.00	743.00	-1432.00
-1.25	2016-09-14	0.44	2805.00	802.00	-2003.00
-0.74	2016-09-15	0.64	264.00	125.00	-139.00
-0.62	2016-09-16	0.70	199.00	107.00	-92.00
-0.65	2016-09-17	0.69	236.00	123.00	-113.00
-0.60	2016-09-18	0.71	249.00	136.00	-113.00
-0.87	2016-09-19	0.59	1151.00	481.00	-670.00
-1.02	2016-09-20	0.53	1547.00	558.00	-989.00
-0.83	2016-09-21	0.61	1617.00	703.00	-914.00
-0.82	2016-09-22	0.61	1654.00	730.00	-924.00
-1.21	2016-09-23	0.46	2265.00	678.00	-1587.00
-0.73	2016-09-24	0.65	244.00	117.00	-127.00
-0.63	2016-09-25	0.69	231.00	123.00	-108.00
-1.39	2016-09-26	0.40	3885.00	969.00	-2916.00
-1.13	2016-09-27	0.49	2475.00	802.00	-1673.00
-1.07	2016-09-28	0.51	1928.00	663.00	-1265.00
-0.89	2016-09-29	0.58	1562.00	639.00	-923.00
-1.03	2016-09-30	0.52	1471.00	523.00	-948.00
-0.81	2016-10-01	0.61	163.00	72.00	-91.00
-0.95	2016-10-02	0.55	222.00	85.00	-137.00
-0.99	2016-10-03	0.54	230.00	85.00	-145.00
-0.90	2016-10-04	0.57	256.00	103.00	-153.00
-0.83	2016-10-05	0.61	193.00	84.00	-109.00
-0.62	2016-10-06	0.70	197.00	105.00	-92.00
-0.71	2016-10-07	0.66	225.00	110.00	-115.00
-0.49	2016-10-08	0.76	185.00	113.00	-72.00
-0.18	2016-10-09	0.91	211.00	176.00	-35.00
-0.49	2016-10-10	0.76	907.00	558.00	-349.00
-0.44	2016-10-11	0.78	729.00	470.00	-259.00
-0.84	2016-10-12	0.60	1067.00	458.00	-609.00
-0.64	2016-10-13	0.69	1112.00	585.00	-527.00
-0.88	2016-10-14	0.59	1293.00	537.00	-756.00
-0.81	2016-10-15	0.62	331.00	147.00	-184.00
-0.16	2016-10-16	0.92	144.00	123.00	-21.00
-1.14	2016-10-17	0.48	1743.00	556.00	-1187.00
-0.63	2016-10-18	0.70	1087.00	580.00	-507.00
-0.91	2016-10-19	0.57	1152.00	462.00	-690.00
-0.88	2016-10-20	0.59	1239.00	514.00	-725.00
-0.94	2016-10-21	0.56	2040.00	793.00	-1247.00
-0.82	2016-10-22	0.61	494.00	218.00	-276.00
-0.57	2016-10-23	0.72	215.00	121.00	-94.00
-0.58	2016-10-24	0.72	1018.00	572.00	-446.00
-0.61	2016-10-25	0.70	784.00	425.00	-359.00
-0.83	2016-10-26	0.61	1306.00	570.00	-736.00
-0.82	2016-10-27	0.61	1066.00	467.00	-599.00
-1.05	2016-10-28	0.52	1429.00	500.00	-929.00
-0.88	2016-10-29	0.59	302.00	125.00	-177.00
-0.94	2016-10-30	0.56	188.00	73.00	-115.00
-0.87	2016-10-31	0.59	1182.00	495.00	-687.00
-0.64	2016-11-01	0.69	806.00	426.00	-380.00
-1.12	2016-11-02	0.49	1579.00	515.00	-1064.00
-0.74	2016-11-03	0.65	1424.00	679.00	-745.00
-0.81	2016-11-04	0.62	1235.00	551.00	-684.00
-0.63	2016-11-05	0.69	215.00	114.00	-101.00
-0.35	2016-11-06	0.82	191.00	134.00	-57.00
-0.77	2016-11-07	0.63	1127.00	523.00	-604.00
-0.63	2016-11-08	0.70	1081.00	577.00	-504.00
-0.69	2016-11-09	0.67	2421.00	1208.00	-1213.00
-0.48	2016-11-10	0.77	1097.00	680.00	-417.00
-0.48	2016-11-11	0.76	950.00	588.00	-362.00
-0.69	2016-11-12	0.67	313.00	156.00	-157.00
-0.31	2016-11-13	0.84	237.00	173.00	-64.00
-0.61	2016-11-14	0.71	1192.00	649.00	-543.00
-0.67	2016-11-15	0.67	811.00	413.00	-398.00
-0.83	2016-11-16	0.61	892.00	388.00	-504.00
-0.68	2016-11-17	0.67	1116.00	563.00	-553.00
-0.81	2016-11-18	0.61	961.00	426.00	-535.00
-0.51	2016-11-19	0.75	213.00	128.00	-85.00
-0.62	2016-11-20	0.70	261.00	140.00	-121.00
-0.71	2016-11-21	0.66	1059.00	520.00	-539.00
-0.49	2016-11-22	0.76	1056.00	649.00	-407.00
-0.84	2016-11-23	0.60	1207.00	520.00	-687.00
-0.86	2016-11-24	0.60	1215.00	515.00	-700.00
-0.86	2016-11-25	0.59	1597.00	674.00	-923.00
-0.53	2016-11-26	0.74	199.00	117.00	-82.00
-0.35	2016-11-27	0.83	218.00	154.00	-64.00
-0.59	2016-11-28	0.72	1006.00	560.00	-446.00
-0.74	2016-11-29	0.65	1697.00	812.00	-885.00
-0.73	2016-11-30	0.65	1306.00	628.00	-678.00
-0.55	2016-12-01	0.73	827.00	479.00	-348.00
-0.98	2016-12-02	0.54	1883.00	704.00	-1179.00
-0.64	2016-12-03	0.69	206.00	108.00	-98.00
