date	bi	dis	neg	pos	ssi	bi_change
2016-08-25	-1.17	0.47	2486.0	770.0	-1716.0	0.6669
2016-08-26	-1.09	0.5	1921.0	642.0	-1279.0	-0.0763
2016-08-27	-0.66	0.68	228.0	117.0	-111.0	
2016-08-28	-0.45	0.78	221.0	141.0	-80.0	
2016-08-29	-0.98	0.55	1573.0	592.0	-981.0	0.0098
2016-08-30	-1.08	0.51	1939.0	659.0	-1280.0	-0.162
2016-08-31	-0.96	0.55	1781.0	679.0	-1102.0	-0.336
2016-09-01	-1.18	0.47	2636.0	812.0	-1824.0	0.8496
2016-09-02	-0.99	0.54	2361.0	877.0	-1484.0	-0.1287
2016-09-03	-0.54	0.73	198.0	115.0	-83.0	
2016-09-04	-0.42	0.79	187.0	122.0	-65.0	
2016-09-05	-1.01	0.53	1477.0	535.0	-942.0	-0.1515
2016-09-06	-0.83	0.61	1541.0	670.0	-871.0	-0.5063
2016-09-07	-0.9	0.58	1595.0	649.0	-946.0	-0.036
2016-09-08	-1.05	0.52	1917.0	669.0	-1248.0	-0.1365
2016-09-09	-1.18	0.47	2222.0	679.0	-1543.0	0.649
2016-09-10	-0.97	0.55	452.0	171.0	-281.0	
2016-09-11	-0.85	0.6	396.0	169.0	-227.0	
2016-09-12	-1.32	0.42	4324.0	1152.0	-3172.0	2.442
2016-09-13	-1.07	0.51	2175.0	743.0	-1432.0	-0.0535
2016-09-14	-1.25	0.44	2805.0	802.0	-2003.0	0.85
2016-09-15	-0.74	0.64	264.0	125.0	-139.0	
2016-09-16	-0.62	0.7	199.0	107.0	-92.0	
2016-09-17	-0.65	0.69	236.0	123.0	-113.0	
2016-09-18	-0.6	0.71	249.0	136.0	-113.0	
2016-09-19	-0.87	0.59	1151.0	481.0	-670.0	-0.6699
2016-09-20	-1.02	0.53	1547.0	558.0	-989.0	0.102
2016-09-21	-0.83	0.61	1617.0	703.0	-914.0	-0.083
2016-09-22	-0.82	0.61	1654.0	730.0	-924.0	-0.4428
2016-09-23	-1.21	0.46	2265.0	678.0	-1587.0	0.3388
2016-09-24	-0.73	0.65	244.0	117.0	-127.0	
2016-09-25	-0.63	0.69	231.0	123.0	-108.0	
2016-09-26	-1.39	0.4	3885.0	969.0	-2916.0	2.4464
2016-09-27	-1.13	0.49	2475.0	802.0	-1673.0	-0.6667
2016-09-28	-1.07	0.51	1928.0	663.0	-1265.0	0.3638
2016-09-29	-0.89	0.58	1562.0	639.0	-923.0	-0.3115
2016-09-30	-1.03	0.52	1471.0	523.0	-948.0	-0.2163
2016-10-01	-0.81	0.61	163.0	72.0	-91.0	
2016-10-02	-0.95	0.55	222.0	85.0	-137.0	
2016-10-03	-0.99	0.54	230.0	85.0	-145.0	
2016-10-04	-0.9	0.57	256.0	103.0	-153.0	
2016-10-05	-0.83	0.61	193.0	84.0	-109.0	
2016-10-06	-0.62	0.7	197.0	105.0	-92.0	
2016-10-07	-0.71	0.66	225.0	110.0	-115.0	
2016-10-08	-0.49	0.76	185.0	113.0	-72.0	
2016-10-09	-0.18	0.91	211.0	176.0	-35.0	
2016-10-10	-0.49	0.76	907.0	558.0	-349.0	-0.7105
2016-10-11	-0.44	0.78	729.0	470.0	-259.0	-0.2464
2016-10-12	-0.84	0.6	1067.0	458.0	-609.0	0.1848
2016-10-13	-0.64	0.69	1112.0	585.0	-527.0	-0.0576
2016-10-14	-0.88	0.59	1293.0	537.0	-756.0	-0.0704
2016-10-15	-0.81	0.62	331.0	147.0	-184.0	
2016-10-16	-0.16	0.92	144.0	123.0	-21.0	
2016-10-17	-1.14	0.48	1743.0	556.0	-1187.0	0.8436
2016-10-18	-0.63	0.7	1087.0	580.0	-507.0	-0.882
2016-10-19	-0.91	0.57	1152.0	462.0	-690.0	-0.0273
2016-10-20	-0.88	0.59	1239.0	514.0	-725.0	0.0088
2016-10-21	-0.94	0.56	2040.0	793.0	-1247.0	-0.1974
2016-10-22	-0.82	0.61	494.0	218.0	-276.0	
2016-10-23	-0.57	0.72	215.0	121.0	-94.0	
2016-10-24	-0.58	0.72	1018.0	572.0	-446.0	-0.7018
2016-10-25	-0.61	0.7	784.0	425.0	-359.0	-0.0732
2016-10-26	-0.83	0.61	1306.0	570.0	-736.0	0.415
2016-10-27	-0.82	0.61	1066.0	467.0	-599.0	0.1066
2016-10-28	-1.05	0.52	1429.0	500.0	-929.0	0.273
2016-10-29	-0.88	0.59	302.0	125.0	-177.0	
2016-10-30	-0.94	0.56	188.0	73.0	-115.0	
2016-10-31	-0.87	0.59	1182.0	495.0	-687.0	0.1044
2016-11-01	-0.64	0.69	806.0	426.0	-380.0	-0.4544
2016-11-02	-1.12	0.49	1579.0	515.0	-1064.0	0.7056
2016-11-03	-0.74	0.65	1424.0	679.0	-745.0	-0.6216
2016-11-04	-0.81	0.62	1235.0	551.0	-684.0	0.0972
2016-11-05	-0.63	0.69	215.0	114.0	-101.0	
2016-11-06	-0.35	0.82	191.0	134.0	-57.0	
2016-11-07	-0.77	0.63	1127.0	523.0	-604.0	-0.2002
2016-11-08	-0.63	0.7	1081.0	577.0	-504.0	-0.2961
2016-11-09	-0.69	0.67	2421.0	1208.0	-1213.0	0.4278
2016-11-10	-0.48	0.77	1097.0	680.0	-417.0	-0.6576
2016-11-11	-0.48	0.76	950.0	588.0	-362.0	-0.3744
2016-11-12	-0.69	0.67	313.0	156.0	-157.0	
2016-11-13	-0.31	0.84	237.0	173.0	-64.0	
2016-11-14	-0.61	0.71	1192.0	649.0	-543.0	-0.2745
2016-11-15	-0.67	0.67	811.0	413.0	-398.0	0.067
2016-11-16	-0.83	0.61	892.0	388.0	-504.0	0.0498
2016-11-17	-0.68	0.67	1116.0	563.0	-553.0	-0.0748
2016-11-18	-0.81	0.61	961.0	426.0	-535.0	0.3969
2016-11-19	-0.51	0.75	213.0	128.0	-85.0	
2016-11-20	-0.62	0.7	261.0	140.0	-121.0	
2016-11-21	-0.71	0.66	1059.0	520.0	-539.0	-0.5609
2016-11-22	-0.49	0.76	1056.0	649.0	-407.0	-0.4606
2016-11-23	-0.84	0.6	1207.0	520.0	-687.0	0.1848
2016-11-24	-0.86	0.6	1215.0	515.0	-700.0	-0.0172
2016-11-25	-0.86	0.59	1597.0	674.0	-923.0	-0.5332
2016-11-26	-0.53	0.74	199.0	117.0	-82.0	
2016-11-27	-0.35	0.83	218.0	154.0	-64.0	
2016-11-28	-0.59	0.72	1006.0	560.0	-446.0	-0.2714
2016-11-29	-0.74	0.65	1697.0	812.0	-885.0	-0.1332
2016-11-30	-0.73	0.65	1306.0	628.0	-678.0	0.73
2016-12-01	-0.55	0.73	827.0	479.0	-348.0	-0.396
2016-12-02	-0.98	0.54	1883.0	704.0	-1179.0	0.882
2016-12-03	-0.64	0.69	206.0	108.0	-98.0	
2016-12-04	-0.64	0.69	267.0	141.0	-126.0	
2016-12-05	-0.89	0.58	1697.0	699.0	-998.0	1.0769
2016-12-06	-0.88	0.59	981.0	407.0	-574.0	0.1408
2016-12-07	-0.62	0.7	823.0	441.0	-382.0	-0.4402
