read_count	comment_count	title	author	release_date
39004	267	沪指收盘强势上涨逾1% 恒指创5个月以来新高	财经评论	02-19
268501	933	首批养老金权益类组合有望本周打款 最快将在本周买入股票	财经评论	02-19
67009	295	四大报论再融资新政：维护中小股东利益 长期利	财经评论	02-20
54224	42	刘士余这一年：“刘氏语”频刷屏 加强投资者保	财经评论	02-20
61902	140	新规重塑融资格局：定增收紧壳股承压 两万亿再	财经评论	02-20
1098544	683	证监会2月17日核发IPO批文 12家企业筹资不超过5	财经评论	02-17
381744226	3698	1分钟开户，送1年Level-2极速行情！报名实盘大	东方财富网	06-15
50151	10	涨停板预测：50只股票或涨停 附重大利好消息一	财经评论	02-20
2372	4	节后行情发展逻辑及后市预判	Paul1992	02-20
95286	16	今日20只个股跨越牛熊分界线	财经评论	02-17
6301	2	浅析著名游资席位打板规律与逻辑	水中央A	02-20
83438	20	龙头股复盘：明显的增量资金行情	橘子洲头吃橘子	02-19
108358	33	军民融合政策红利陆续兑现 “民参军”主线最容	财经评论	02-18
139801	22	沪深两市涨跌互现 主力看好2行业15只股	财经评论	02-17
72413	13	35只股中线走稳 站上半年线	财经评论	02-17
50305	9	30只股走稳 短期均线现金叉	财经评论	02-17
26037384	21098	  百万本金撬动百万收益！来了才知道赚不赚钱！	东方财富网	02-17
1	0	走了。不玩了	跟风小分队	02-20
11	6	亚星锚链：主力刻意暗藏背后玄机，今天到底是该	laolangk	02-20
42	0	不错。和青龙管业打压横盘走势一样完美	华尔街老亨	02-20
54	0	开板的谁进谁被套	胸一甩全球摇摆	02-20
45	0	看来你真是一日游啊	李天腾	02-20
75	0	至少还有三板	盘中歺	02-20
54	0	清仓走人～	股友CtcE7n	02-20
60	0	还有二板	辽宁沈阳手机网友	02-20
75	0	麻批，凡是无影脚的货次日一律不碰	笑傲酱壶	02-20
169	0	那么大的买单都压不住，抛压是有这么重吗	股友lJlUME	02-20
93	0	守了一年，割肉卖了就开始涨[哭]	四川德阳手机网友	02-20
125	0	不出待何时	Jacc99189	02-20
577	1	封不住啊[不赞]	股友FoUFFw	02-20
130	0	与其拿钱买经验，真不如抽出来点时间多问问	gaseous	02-20
340	0	感情用事是股市中的致命伤	何丽秀	02-20
159	0	全是小单在买，大盘都撤了挂在后面	痕迹66966	02-20
200	1	无缘阿，[哭][哭][哭][哭]	喜啦啦	02-20
144	0	抛单好重啊！	股友SiS7ZZ	02-20
134	0	开盘涨停。	股友SiS7ZZ	02-20
265	0	亚星锚链    今日关注	小晚霞1	02-20
369	1	静静等待佛山的无影脚跑	中国手机网友	02-20
663	2	收盘，9.28	卡号一天	02-20
427	1	盘前一股;601890亚星瞄链今天可以逢低买进！	金河谷	02-20
195	0	军民融合典范	涨升谷粒	02-20
233	0	好运来了都挡不住	猫眼天下	02-20
966	0	如果亚星锚链没有散户参与，庄司令好玩吗？[想	喜啦啦	02-19
1318	0	军工航母概念龙头 周一找机会介入咯	股海狂蛆	02-19
3170	4	这个吧里面都没有小散了，讲话的都是拖！全都割	江苏手机网友	02-19
7232	8	经过两日的左右权衡，大帝决定砸锅卖铁，征讨亚	盘魂大帝	02-19
612	0	秒了	FSTlaofan	02-19
1010	0	又是“佛山季华六路”	有白云又黑土	02-19
2058	0	六大妖股重现江湖：巨幅波动+高量换手 敢买吗？	财经评论	09-25
1062	0	好个一阳穿十线！	抄上肥	02-19
8011	3	理性分析：亚星锚链将乘风破浪，所向披靡，未来	笑看天下1963	02-19
3141	0	国产航母下水在即 亚星锚链看涨	有悔rensheng	02-19
960	1	养老进场了会买歌华有线吗？9.30社保和证金可是	tyxshero	02-19
759	0	凌云股份，航母，导弹，北斗，军民融合	水分子2	02-19
2074	1	换手率太低	山东泰安手机网友	02-19
1431	0	坐稳了，最近亚星锚链起飞阶段！拿好了	冷玉53901	02-19
2942	0	亚星锚链行情即将发生转变，又将是强势新一轮的	悠悠青草心	02-19
2173	0	不要掉以轻心 后势惊人已成定局！	猜不透的無...	02-19
905	1	柘中股份中国中冶美的集团五粮液贵州茅台 微软	股友qvDYuw	02-19
1423	0	都是没实力的游资和佛山无影腿一日游	谁偷了我的账号	02-19
935	0	军民共融	涨升谷粒	02-19
5063	0	亚星锚链必会大展宏图下周将红半边天，恭喜随我	夜色怡人	02-19
835	0	两市成交量环比虽然有所萎缩，但却和前期放量上	n123058000	02-19
3945	2	礼拜一继续涨	永远的朋友999	02-19
3534	2	成本8，目标10，25000股	股友2EKlXE	02-19
4801	3	铁定的一日游![不屑]	大宜昌康	02-18
6729	4	我18元的本，啥时侯能回本	HXMQ733	02-18
7889	4	亚星锚链+灵康药业+抚顺特钢	星花五线谱	02-18
1780	0	上午直拉封板，周一肯定还有一板	LZQ12345	02-18
3489	1	一剑封喉，两板的料，还是当吃瓜观众吧[想一下]	喜啦啦	02-18
1623	0	航母，导弹，北斗，军民融合，凌云股份，星期一	水分子2	02-18
8506	8	谁周一会继续版？各自优势在哪里？	J勇士之绝不...	02-18
2734	1	航母群肯定不会少于5个，印度洋，太平洋，东海	Vitgo	02-18
4251	0	早段时间，有条新闻 说亚星锚链16年，股东利润	喜啦啦	02-18
1058	0	凌云股份，正宗军民融合，突破形态，拉伸在即	水分子2	02-18
1995	1	佛山帮的操作手法经常一日游，次日拉高出货	源泉不断	02-18
10470	6	没有380%-470％的涨幅，亚星锚链不能说好，别给	三太并一泰	02-18
1326	1	低价筹码洗得差不多了	扑克13	02-18
1439	0	取利避险，首选“错杀”低价高送转为宜	蓄久必发速	02-18
1299	0	次新股票：容大感光 才8.48亿的流通市值4444444	价值决定价格哦	02-18
2089	1	昨天收盘价买进 今天涨停 爽啊	浙江台州手机网友	02-17
2617	1	昨天我说了今天会涨停，你们就是不信[大笑][大	娚玛品牌时...	02-17
4695	1	佛山季华路秒的板，星期一应该还是板，不过也就	yiwenqing	02-17
1758	0	周一大概率一字板！	神棍道尊	02-17
11050	6	大家预测星期一是个什么状况？	空对月亮	02-17
1442	0	庄司令，周一给个机会上车吧[鼓掌][鼓掌]老客户	喜啦啦	02-17
4575	5	阿里潜在收购   步步高豪赌实体商业。步步高商	中国巴菲特00	02-17
7681	4	这些游资怎么就知道这里的低价筹码洗得差不多了	人民得天下	02-17
1122	0	大家一定要识破空军伎俩	取舍彼铲症天	02-17
657	0	齐心合力，精诚团结	取舍彼铲症天	02-17
24484	5	【龙虎榜】盘中急速封板 两大知名游资领衔扫货	龙虎榜揭秘	02-17
679	0	好的，就这样别停	取舍彼铲症天	02-17
2312	1	票低开继续套人	取舍彼铲症天	02-17
2060	1	这股太jb搞笑，没涨的时候天天卖说割肉跑了。涨	背着老婆去旅行	02-17
885	0	虽然今天我也没跑，我在昨天承诺	取舍彼铲症天	02-17
988	0	十四工作线，不破不走人	取舍彼铲症天	02-17
0	1	2	3	4
6958	3	光大证券佛山季华六路营业部就是强悍，直接秒停	坐标股东	02-17
1733	0	星期一开盘杀进   又一直妖股诞生	大脚板1	02-17
1118	0	拉升前一天你说一下吧，好像多牛逼一样，涨停了	江苏南京手机网友	02-17
518	0	厉害啊	同学会003	02-17
960	0	哈哈，就是这样给力	海南海口网友	02-17
5985	1	大杨投资买入亚星锚链	大杨投资	02-17
57062	21	亚星锚链(601890)龙虎榜数据(02-17)	亚星锚链资讯	02-17
3031	1	突然秒涨停板，小散都来不及上弹！希望周一有机	麦格理资本	02-17
5998	2	有什么利好吗？突然涨停？哪位知情人士来说说	我叫害虫	02-17
1074	0	看主力这吃相是要撸起袖子大干一场	大同风	02-17
5227	5	套了一年，终于看见个涨停。来回T,把本从13降到	辰宝V5	02-17
8708	7	哇哈哈，今天太忙才抽出时间看盘，看大盘的表示	吉林长春手机网友	02-17
762	0	一日游[大笑][大笑]	ktv98	02-17
3368	1	直接拉停，根本不给你进入的机会	辽宁沈阳网友	02-17
4729	2	大盘要跳水，一个涨停是事件刺激，不可能长久，	顺风236	02-17
2982	0	国资委：在有色金属、船舶制造、炼化等行业开展	小嘟嘟龙	02-17
4961	2	一个涨停消灭多少散户？？？	王府老井兼黄金	02-17
5416	3	亚星是锚链龙头！市值才80多亿！说不过去啊起码	长胜风投	02-17
686	0	大盘这个样子，我卖了走，不能太贪1	河南郑州手机网友	02-17
779	0	再来3个涨停我就解套了[哭][哭][哭][哭][哭]	鞋猫宝贝	02-17
1700	0	沉重的锚链终于拉起来	河南郑州网友	02-17
1006	0	宏图高科，宏图高科，宏图高科，匡时拍卖12亿需	股市牛股1	02-17
4892	4	明天涨停全部卖出。	江西南昌手机网友	02-17
3685	0	《一航母两会消息：601890：7个涨停》一抚顺特	股市面壁思过	02-17
1152	0	给我砸开！中原证券都跳水了你装个啥大尾巴狼！	容沉爱	02-17
893	0	2017年进入百元股价，300474。	年亏七百倍	02-17
