dates	AAPL	MSFT	XOM
2017-03-06	22.13	13.03	9.08
2017-03-03	21.79	13.0	9.0
2017-03-02	22.0	13.11	9.31
2017-03-01	21.61	13.09	9.46
2017-02-28	21.52	12.87	9.33
2017-02-27	21.82	13.06	9.32
2017-02-24	22.08	13.03	9.3
2017-02-23	20.99	13.16	9.36
2017-02-22	21.35	13.18	9.53
2017-02-21	21.7	12.92	9.68
2017-02-20	21.46	12.49	10.14
2017-02-17	22.17	12.68	8.39
2017-02-16	21.57	12.55	8.31
2017-02-15	21.5	12.65	8.48
2017-02-14	20.75	12.86	8.53
2017-02-13	20.38	12.93	8.47
2017-02-10	20.72	13.03	8.59
2017-02-09	20.52	12.97	8.6
2017-02-08	20.55	12.9	8.51
2017-02-07	19.97	12.84	8.53
2017-02-06	19.35	12.9	8.48
2017-02-03	19.13	12.96	8.34
2017-01-26	19.3	12.7	8.3
2017-01-25	19.15	12.92	8.21
2017-01-24	19.29	12.68	8.41
2017-01-23	19.11	12.74	8.25
2017-01-20	18.63	12.29	8.12
2017-01-19	18.67	12.04	8.18
2017-01-18	18.65	12.31	8.28
2017-01-17	18.51	11.97	8.14
2017-01-16	19.95	12.71	8.73
2017-01-13	20.26	13.82	8.85
2017-01-12	20.05	13.75	9.08
2017-01-11	20.31	13.94	9.01
2017-01-10	20.22	14.3	9.22
2017-01-09	20.38	13.68	8.92
2017-01-06	20.0	13.38	8.97
2017-01-05	19.78	13.47	8.89
2017-01-04	19.44	13.16	8.89
2017-01-03	19.4	13.1	8.79
2016-12-30	19.6	13.13	8.79
2016-12-29	19.38	13.44	8.8
2016-12-28	19.59	13.34	9.03
2016-12-27	19.68	13.5	9.18
2016-12-26	19.81	13.68	9.17
2016-12-23	20.46	13.68	9.27
2016-12-22	18.5	13.56	9.36
2016-12-21	18.49	13.7	9.13
2016-12-20	18.45	13.48	9.31
2016-12-19	18.5	12.85	9.44
2016-12-16	18.53	12.02	9.38
2016-12-15	17.98	11.76	9.1
2016-12-14	18.11	11.86	9.2
2016-12-13	19.04	11.65	8.68
2016-12-12	19.48	12.41	9.07
2016-12-09	20.91	12.53	9.12
2016-12-08	21.3	12.66	9.24
2016-12-07	21.14	12.54	8.95
2016-12-06	21.18	12.43	9.0
2016-12-05	20.85	12.25	8.72
2016-12-02	21.58	13.11	8.96
2016-12-01	21.5	13.05	8.8
2016-11-30	22.21	13.41	8.96
2016-11-29	25.0	13.65	8.87
2016-11-16	24.5	12.75	8.95
2016-11-15	24.36	12.72	8.94
2016-11-14	25.22	12.65	8.84
2016-11-11	24.9	12.53	8.83
2016-11-10	24.48	12.24	8.72
2016-11-09	24.4	12.31	8.78
2016-11-08	23.17	12.36	8.77
2016-11-07	23.11	12.69	8.71
2016-11-04	23.17	12.51	8.79
2016-11-03	23.16	12.25	8.79
2016-11-02	23.8	12.33	8.8
2016-11-01	24.1	12.02	8.77
2016-10-31	23.78	11.83	8.85
2016-10-28	24.1	11.88	8.95
2016-10-27	23.89	11.84	8.93
2016-10-26	23.25	11.4	9.0
2016-10-25	21.61	11.35	8.99
2016-10-24	21.15	11.2	8.9
2016-10-21	21.15	11.14	8.98
2016-10-20	21.25	11.15	9.07
2016-10-19	21.35	11.13	9.01
2016-10-18	21.14	10.88	8.93
2016-10-17	21.99	10.99	9.0
2016-10-14	22.2	11.07	9.03
2016-10-13	22.43	11.1	9.06
2016-10-12	22.3	11.07	9.05
2016-10-11	21.59	11.12	8.89
2016-10-10	21.9	10.97	8.83
2016-09-30	21.19	10.94	8.67
2016-09-29	20.85	10.74	8.66
2016-09-28	19.88	10.78	8.65
2016-09-27	19.3	10.71	8.64
2016-09-26	21.03	10.78	8.85
2016-09-23	21.06	10.96	8.95
2016-09-22	20.95	10.93	8.9
2016-09-21	20.78	10.86	8.85
2016-09-20	21.16	10.87	8.96
2016-09-19	21.95	10.74	8.98
2016-09-14	21.8	10.52	8.91
2016-09-13	22.1	10.45	8.99
2016-09-12	22.5	10.62	9.08
2016-09-09	23.92	10.82	9.22
2016-09-08	24.8	10.72	9.17
2016-09-07	23.2	10.74	9.18
2016-09-06	22.74	10.66	9.11
2016-09-05	22.57	10.57	9.11
2016-09-02	22.33	10.58	9.14
2016-09-01	20.85	10.57	9.19
2016-08-31	20.92	10.52	9.19
2016-08-30	21.12	10.48	9.21
2016-08-29	21.87	10.36	9.19
2016-08-26	21.79	10.37	9.21
2016-08-25	21.8	10.37	9.34
2016-08-24	21.88	10.59	9.35
2016-08-23	22.41	10.67	9.4
2016-08-22	22.08	10.61	9.42
2016-08-19	22.6	10.5	9.38
2016-08-18	22.41	10.45	9.45
2016-08-17	22.51	10.51	9.42
2016-08-16	21.81	10.51	9.37
2016-08-15	21.6	10.37	9.24
2016-08-12	20.77	10.25	9.1
2016-08-11	21.09	10.35	9.31
2016-08-10	21.44	10.39	9.44
2016-08-09	21.14	10.32	9.36
2016-08-08	21.41	10.1	9.09
2016-08-05	22.15	10.1	9.18
2016-08-04	21.79	10.18	9.2
2016-08-03	21.0	9.97	9.17
2016-08-02	20.55	9.83	9.18
2016-08-01	20.37	10.03	9.37
2016-07-29	20.92	10.09	9.55
2016-07-28	21.98	10.01	9.51
2016-07-27	21.82	10.52	10.03
2016-07-26	22.15	10.45	9.91
2016-07-25	20.17	10.83	10.01
2016-07-22	19.41	10.89	10.1
2016-07-21	18.31	10.76	9.94
2016-07-20	18.17	10.82	9.92
2016-07-19	18.3	10.71	9.91
2016-07-18	18.0	10.87	9.93
2016-07-15	17.69	10.82	10.09
2016-07-14	17.6	10.91	10.12
2016-07-13	17.88	11.05	10.5
2016-07-12	17.82	10.95	10.06
2016-07-11	18.0	11.1	10.4
2016-07-08	19.5	11.12	9.86
2016-07-07	18.66	10.76	10.0
2016-07-06	16.96	10.56	10.0
2016-03-15	15.24	9.53	9.8
2016-03-14	15.02	9.42	9.54
2016-03-11	14.97	9.11	9.5
2016-03-10	15.25	9.27	9.8
2016-03-09	15.48	9.3	9.75
2016-03-08	15.5	9.43	10.12
2016-03-07	15.17	9.18	10.22
